chunk_id,source_split,orig_file,orig_line,text,n_sent,density_bin,notes
TST_0001,test,llm_test_gen.jsonl,38,"""A dam broke along the river, flooding the town of Chokwe in the middle of the night and trapping several unprepared residents; this accounted for nearly half of the death toll.""",1,high,
TST_0002,test,llm_test_gen.jsonl,202,"""Their presence was at first tolerated by Prince Sihanouk, the Cambodian head of state, but domestic resistance combined with China and North Vietnam continuing to provide aid to the anti-government Khmer Rouge alarmed Sihanouk and caused him to go to Moscow to request the Soviets rein in the behavior of North Vietnam.""",1,high,
TST_0003,test,llm_test_gen.jsonl,249,"""The developing cyclone was first detected on April 3, while situated well to the northeast of Vanuatu.""",1,med,
TST_0004,test,llm_test_gen.jsonl,260,"""The storm's large fetch generated enormous swells as far away as Australia's Eastern Seaboard, where surfers took advantage of the abnormally intense conditions and two swimmers drowned.""",1,high,
TST_0005,test,llm_test_gen.jsonl,475,"""The origins to the conflict can be traced back to Jewish immigration and sectarian conflict in Mandatory Palestine between Jews and Arabs.""",1,med,
TST_0006,test,llm_test_gen.jsonl,1034,"""At the onset of the coup, the rebels seized Villamor Airbase, Fort Bonifacio, Sangley Airbase, Mactan Airbase in Cebu, and portions of Camp Aguinaldo.""",1,low,
TST_0007,test,llm_test_gen.jsonl,1227,"""The 2008 Kabul Serena Hotel attack was an attack on the gym of the Kabul Serena Hotel, in Kabul, Afghanistan on January 14, 2008 for which the Taliban claimed responsibility.""",1,med,
TST_0008,test,llm_test_gen.jsonl,1420,"""After a crowd gathered in the area, a teen-aged suicide bomber on a motorcycle set off a second explosion, killing many people on the spot.""",1,med,
TST_0009,test,llm_test_gen.jsonl,2426,"""Southern state legislatures had passed and maintained a series of discriminatory requirements and practices that had disenfranchised most of the millions of African Americans across the South throughout the 20th century.""",1,med,
TST_0010,test,llm_test_gen.jsonl,2493,"""Placed throughout Boston, Massachusetts, and the surrounding cities of Cambridge and Somerville, these devices were part of a guerrilla marketing advertising campaign for ""Aqua Teen Hunger Force Colon Movie Film for Theaters"", a film based on ""Aqua Teen Hunger Force"".""",1,high,
TST_0011,test,llm_test_gen.jsonl,2769,"""The site of the massacre has been identified as the present-day Suicide Bay, facing the island outcrops known as The Doughboys.""",1,high,
TST_0012,test,llm_test_gen.jsonl,2847,"""The tour was undertaken to celebrate the release of Savage Garden's 10th anniversary greatest hits album.""",1,med,
TST_0013,test,llm_test_gen.jsonl,3179,"""They have brought their talents to the fore as the festival's continued growth is very much due to their commitment.""""",1,med,
TST_0014,test,llm_test_gen.jsonl,3247,"""In particular, it transformed Cuba's relationship with the United States, although efforts to improve diplomatic relations have gained momentum in recent years.""",1,med,
TST_0015,test,llm_test_gen.jsonl,3513,"""There were eight matches on for the event's card.""",1,low,
TST_0016,test,llm_test_gen.jsonl,3518,"""Hurricane Paul was a strong tropical cyclone that threatened the Baja California peninsula during October 2012.""",1,med,
TST_0017,test,llm_test_gen.jsonl,3555,"""In the treaty signed Demetrius received some fortresses in Attica but Athens was freed from a Macedonian garrison.""",1,med,
TST_0018,test,llm_test_gen.jsonl,4056,"""They knowingly attempted to land using an inappropriate navigation signal and ignored alarms warning them of an impending crash.""",1,med,
TST_0019,test,llm_test_gen.jsonl,4111,"""The fire started on August 17, 2013, during the 2013 California wildfire season, and grew to be (at the time) the third-largest wildfire in California's history, having burned .""",1,high,
TST_0020,test,llm_test_gen.jsonl,4380,"""Denmark finished in second place, with one silver and one bronze won.""",1,low,
TST_0021,test,llm_test_gen.jsonl,4471,"""The show has received positive criticism, complimenting their showmanship, as well as the longevity of their signature sound and look.""",1,med,
TST_0022,test,llm_test_gen.jsonl,4646,"""As of January 2016, there have been more than 800 fatalities and almost 3,000 injuries.""",1,low,
TST_0023,test,llm_test_gen.jsonl,4693,"""A subsequent incident led to a further ban, which was later lifted.""",1,low,
TST_0024,test,llm_test_gen.jsonl,4726,"""In particular, the 9th Parachute Battalion, which was assigned the task of destroying the Merville artillery battery, was only able to gather up a fraction of its strength before it had to attack the battery, with the result that the depleted force suffered heavy casualties.""",1,high,
TST_0025,test,llm_test_gen.jsonl,4806,"""The seventeen-day war caused thousands of casualties on both sides and witnessed the largest engagement of armored vehicles and the largest tank battle since World War II.""",1,high,
TST_0026,test,llm_test_gen.jsonl,4901,"""The Greeks were later assisted by the Russian Empire, Great Britain, and the Kingdom of France, while the Ottomans were aided by their North African vassals, the eyalets of Egypt, Algeria, and Tripolitania, and the Beylik of Tunis.""",1,high,
TST_0027,test,llm_test_gen.jsonl,5844,"""The Arauco War was a long-running conflict between colonial Spaniards and the Mapuche people, mostly fought in the Araucanía.""",1,med,
TST_0028,test,llm_test_gen.jsonl,6177,"""All three of them, Ron Launius, Billy DeVerell, and Joy Miller, along with their accomplice Barbara Richardson, died from extensive blunt-force trauma injuries.""",1,low,
TST_0029,test,llm_test_gen.jsonl,6356,"""The First Ivorian Civil War was a conflict in the Ivory Coast (also known as Côte d'Ivoire) that began in 2002.""",1,med,
TST_0030,test,llm_test_gen.jsonl,6397,"""The purpose of the march was to advocate for the civil and economic rights of African Americans.""",1,med,
TST_0031,test,llm_test_gen.jsonl,6401,"""Observers estimated that 75–80% of the marchers were black.""",1,low,
TST_0032,test,llm_test_gen.jsonl,7173,"""In two provinces in Mozambique, the cyclone damaged or destroyed 25,000 houses, leaving at least 23,000 people homeless.""",1,med,
TST_0033,test,llm_test_gen.jsonl,7283,"""This was last competed as a world championship event in 1994 between nations.""",1,low,
TST_0034,test,llm_test_gen.jsonl,7477,"""In trials at the International Criminal Tribunal for the former Yugoslavia (ICTY) and the Court of Bosnia and Herzegovina members of the group who carried out the killings, including their leader, Darko Mrđa, were convicted and sentenced to various terms of imprisonment.""",1,high,
